"cellline"	"compound"	"drug_plate_id"	"T0_plate_id"	"background_od1"	"background_od2"	"od0.1"	"od0.2"	"od0.3"	"od1.1"	"od1.2"	"od1.3"	"od2.1"	"od2.2"	"od2.3"	"od3.1"	"od3.2"	"od3.3"	"od4.1"	"od4.2"	"od4.3"	"od5.1"	"od5.2"	"od5.3"	"od6.1"	"od6.2"	"od6.3"	"od7.1"	"od7.2"	"od7.3"	"od8.1"	"od8.2"	"od8.3"	"od9.1"	"od9.2"	"od9.3"	"T0_background_od1"	"T0_background_od2"	"T0_median_od"	"c1"	"c2"	"c3"	"c4"	"c5"	"c6"	"c7"	"c8"	"c9"	"units"
"184A1"	"Disulfiram"	12682	12684	50	121	3154	3425	3612	3120	3954	3040	3857	3482	3150	3649	4111	3239	3550	3236	3833	3287	3233	3589	3966	2860	3170	3188	2810	3010	2203	2068	2673	1017	599	3335	40	100	1270	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"184A1"	"Mebendazole"	12682	12684	50	121	3154	3425	3612	3382	3627	3797	3690	3674	2949	3421	3247	3713	3180	3060	3478	3354	3001	4063	2442	2698	2484	2307	2583	2652	2417	2597	2227	2341	2266	2382	40	100	1270	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"184A1"	"Nelfinavir"	12682	12684	50	121	3154	3425	3612	3777	3496	3553	4031	3640	3141	3060	3515	2896	3436	2953	3616	3339	3258	3522	2905	2985	3056	3208	3128	3285	667	956	970	389	335	324	40	100	1270	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"184B5"	"Disulfiram"	12981	12979	60	121	4040	3005	3162	3247	3332	3114	3662	4264	3273	3498	3665	3387	4288	3303	2626	3791	3381	3335	2997	3218	2460	3461	3468	2302	2383	1994	2336	110	89	88	34	101	1184.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"184B5"	"Mebendazole"	12981	12979	60	121	4040	3005	3162	3599	3947	3155	2658	3218	2232	3162	3417	3762	3317	3214	3916	3177	3577	3945	2866	3414	2406	2963	2184	2877	2386	2689	1750	2023	2662	3245	34	101	1184.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"184B5"	"Nelfinavir"	12981	12979	60	121	4040	3005	3162	4294	3586	3791	3676	3718	3422	3300	3749	2513	4337	3358	3549	4282	4235	3386	4009	3764	3415	4197	2676	3114	1726	1694	1798	220	236	210	34	101	1184.5	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"21NT"	"Disulfiram"	13572	13575	95	160	6792	6908	6409	6387	6657	6165	6451	6696	6377	6700	6544	6183	6873	6361	6367	6787	6567	6487	6103	6224	5569	7018	6609	6186	5986	6641	6055	535	615	764	53	124	2281	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"21NT"	"Mebendazole"	13572	13575	95	160	6792	6908	6409	6469	6852	6241	6668	6143	5799	6196	6830	6326	6556	6336	6517	6301	6618	6244	5706	5641	4948	2903	2629	2894	5280	3710	2537	2790	2697	4573	53	124	2281	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"21NT"	"Nelfinavir"	13572	13575	95	160	6792	6908	6409	6809	6520	6411	6712	6508	6332	6622	6631	5946	6828	6808	6398	6565	6918	6356	6655	6801	6320	6910	6603	6213	6587	6752	6544	1584	1715	1620	53	124	2281	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"600MPE"	"Disulfiram"	13090	13091	47	107	2181	2080	2096	2075	2038	1862	2113	2173	1993	2137	2002	1889	2097	2064	1936	2148	1975	1924	567	580	703	1226	1264	979	611	645	755	64	63	818	44	110	1252.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"600MPE"	"Mebendazole"	13090	13091	47	107	2181	2080	2096	2007	2136	1942	2036	1934	1882	2036	2120	2169	2008	2095	2122	2004	2095	1987	2019	2047	1895	1725	1807	2100	1765	1636	1527	1359	1575	1708	44	110	1252.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"600MPE"	"Nelfinavir"	13090	13091	47	107	2181	2080	2096	2117	2109	1928	2053	2079	1949	2110	2081	1959	2137	2033	2034	2149	2186	2014	2060	2059	1938	2115	1940	1918	1877	1743	1882	287	194	364	44	110	1252.5	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"AU565"	"Disulfiram"	13035	13030	50	112	2416	2815	2627	2708	3014	2480	2770	2319	2418	2761	2895	2418	2659	2650	2870	2470	2529	2608	1310	1292	1027	1383	1251	1065	2222	1948	1908	1939	2262	1481	41	108	1471.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"AU565"	"Mebendazole"	13035	13030	50	112	2416	2815	2627	2459	2643	2873	2663	2522	2304	1618	2683	2566	2524	2390	2389	2479	2330	2462	1679	1137	1026	1403	1398	1343	1484	1389	1275	587	530	676	41	108	1471.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"AU565"	"Nelfinavir"	13035	13030	50	112	2416	2815	2627	2493	2661	2745	2751	2511	2350	2403	2783	2281	2557	2296	2689	2434	2553	2642	2864	2413	2675	2331	2775	2830	2539	2551	2560	2898	2581	2588	41	108	1471.5	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"BT20"	"Disulfiram"	13576	13579	81	147	5425	5673	5506	5607	5455	5454	5434	5480	5235	5583	5404	5374	5535	5611	5527	3861	3897	3684	1720	2015	1815	2488	2857	2160	801	810	1955	132	119	124	58	130	3203.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"BT20"	"Mebendazole"	13576	13579	81	147	5425	5673	5506	5281	5665	5257	5476	5178	5227	5436	5415	5628	5348	4914	5351	5548	5678	5429	4760	4488	4336	2842	2670	2567	4503	3151	2428	2425	639	742	58	130	3203.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"BT20"	"Nelfinavir"	13576	13579	81	147	5425	5673	5506	5531	5435	5472	5363	5405	5362	5408	5494	5284	5414	5493	5315	5528	5542	5415	5526	5565	5366	5579	5176	5270	4583	4448	4323	158	181	135	58	130	3203.5	8.53e-11	4.27e-10	2.13e-09	1.07e-08	5.33e-08	2.67e-07	1.33e-06	6.67e-06	3.33e-05	"M"
"BT474"	"Disulfiram"	13127	13125	181	277	14280	14810	14530	14110	14110	12670	14300	12690	12590	14690	13750	12930	14590	13720	12960	14600	13680	12620	12990	13580	11530	14280	14190	12440	13700	14220	12080	11150	11500	13090	107	201	7467.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
"BT474"	"Mebendazole"	13127	13125	181	277	14280	14810	14530	14210	14760	13010	14340	12590	12720	13620	14730	13160	14050	14700	12920	13230	14290	12430	8403	9007	9028	7647	8233	6941	7451	6167	5944	6007	5251	6480	107	201	7467.5	1.71e-10	8.53e-10	4.27e-09	2.13e-08	1.07e-07	5.33e-07	2.67e-06	1.33e-05	6.67e-05	"M"
