##BLOCKS= 61         																					
Plate:	T47D nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.0433	0.0688	0.0875	0.2306	0.4642	0.6407	0.5843	0.7134	0.6908	0.7223	0.6939									
		0.0441	0.0626	0.0633	0.2334	0.3917	0.6136	0.6305	0.6602	0.7088	0.687	0.6117									
		0.048	0.0638	0.0706	0.2132	0.4326	0.5967	0.6234	0.7411	0.6251	0.6657	0.675									
		0.044	0.3504	0.6088	0.6353	0.6608	0.619	0.6504	0.7171	0.7282	0.6806	0.6239									
		0.0434	0.3568	0.5149	0.6182	0.6232	0.5954	0.7416	0.6582	0.7102	0.6755	0.6623									
		0.0446	0.3023	0.508	0.6058	0.5987	0.6864	0.6099	0.6286	0.6518	0.6229	0.6594									
																					
																					
~End																					
Plate:	HCC1806 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.0448	0.0552	0.053	0.0739	0.1047	0.1853	0.3257	0.4808	0.5009	0.5231	0.7232									
		0.0448	0.0526	0.0517	0.0619	0.0863	0.1648	0.3383	0.5905	0.5287	0.7151	0.8144									
		0.0452	0.0537	0.0524	0.0625	0.1008	0.1541	0.2739	0.4808	0.594	0.6753	0.598									
		0.0454	0.2108	0.2788	0.461	0.5957	0.7034	0.7137	0.8786	0.9084	0.8076	0.8305									
		0.0445	0.2052	0.2259	0.4647	0.5738	0.877	0.9066	0.8234	1.0001	0.983	0.7562									
		0.045	0.1792	0.252	0.356	0.435	0.5229	0.7382	0.6071	0.7642	0.7745	0.7404									
																					
																					
~End																					
Plate:	MDA231 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.0454	0.0568	0.0578	0.1016	0.1397	0.231	0.3289	0.5598	0.4914	0.5593	0.6247									
		0.0448	0.0591	0.0539	0.1016	0.1212	0.208	0.3992	0.4904	0.6071	0.5648	0.6644									
		0.0454	0.0606	0.0616	0.1083	0.1276	0.2191	0.3745	0.6882	0.7011	0.6616	0.8906									
		0.0452	0.2489	0.467	0.6673	0.7794	0.6311	0.6818	0.9202	0.7255	0.7274	0.8083									
		0.0446	0.226	0.4311	0.695	0.7992	0.708	0.7182	0.713	0.6891	0.7215	0.8063									
		0.0443	0.2909	0.4121	0.6271	0.593	0.6902	0.8191	0.6911	0.7355	0.8214	0.6119									
																					
																					
~End																					
Plate:	HCC1143 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.044	0.0761	0.0748	0.2114	0.2779	0.4277	0.5122	0.5996	0.6621	0.6427	0.801									
		0.0444	0.0726	0.0641	0.1721	0.226	0.5138	0.5525	0.7158	0.6298	0.7624	0.7136									
		0.045	0.0745	0.1082	0.1673	0.2452	0.4459	0.5785	0.6955	0.736	0.731	0.8728									
		0.047	0.2806	0.7007	0.8617	0.8935	0.6978	0.9519	0.846	0.883	0.8555	0.7374									
		0.0434	0.4528	0.846	0.797	0.7899	0.8205	0.952	0.9837	0.9239	0.8425	0.7933									
		0.0447	0.3768	0.684	0.8685	0.8006	0.8364	0.9048	0.9978	0.9569	0.7479	0.7649									
																					
																					
~End																					
Plate:	MDA361-20% nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.0446	0.0593	0.0627	0.1074	0.189	0.2526	0.2787	0.2632	0.2507	0.2671	0.3197									
		0.0464	0.0621	0.0612	0.0829	0.1451	0.1825	0.2674	0.2263	0.1928	0.2578	0.309									
		0.0495	0.0629	0.055	0.1353	0.2497	0.1815	0.2251	0.2433	0.2511	0.2304	0.3011									
		0.045	0.0927	0.1606	0.2124	0.3163	0.3224	0.2811	0.2567	0.2701	0.2354	0.2999									
		0.0443	0.09	0.1563	0.1923	0.2637	0.2842	0.3089	0.2735	0.2827	0.2783	0.2828									
		0.0453	0.0888	0.1884	0.3243	0.3044	0.3319	0.2709	0.2936	0.2981	0.283	0.2949									
																					
																					
~End																					
Plate:	JIMT-1 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.045	0.0603	0.0566	0.1705	0.221	0.3599	0.8865	1.1905	1.0813	1.1005	1.2381									
		0.0444	0.0596	0.0582	0.1534	0.2307	0.4871	0.99	1.2302	1.2218	1.5341	1.435									
		0.0445	0.0553	0.0585	0.1855	0.3197	0.5806	1.0579	1.2912	1.2509	1.354	1.3415									
		0.044	0.6709	1.2065	1.2993	1.3218	1.3866	1.4634	1.4305	1.4126	1.4449	1.2187									
		0.0441	0.7198	1.0956	1.5888	1.5204	1.4594	1.4864	1.5386	1.4326	1.4025	1.2321									
		0.0444	0.6184	1.1803	1.2722	1.2962	1.1634	1.2113	1.2745	1.1121	1.3609	1.1714									
																					
																					
~End																					
Plate:	BT-549 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.3																				
		0.0455	0.0584	0.0576	0.1494	0.2308	0.6536	0.6208	0.8598	0.7485	0.823	0.7991									
		0.0461	0.0585	0.061	0.1087	0.3255	0.8426	0.7666	1.0486	0.9568	1.0938	0.8517									
		0.0475	0.0578	0.0625	0.1226	0.2667	0.5229	0.7111	0.8098	0.8967	0.9344	0.8025									
		0.0449	0.5197	0.8547	0.9315	0.8304	1.0174	0.8066	0.9247	0.8292	1.0139	0.8578									
		0.0475	0.4303	0.8125	0.8751	0.9427	1.0621	0.9913	0.8956	0.9547	0.9391	0.8426									
		0.0457	0.4666	0.645	0.7128	0.7851	0.7189	0.7545	0.6935	0.657	0.8096	0.7944									
																					
																					
~End																					
Plate:	AU655 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0453	0.0604	0.0592	0.0722	0.1707	0.2435	0.3313	0.3082	0.2995	0.2871	0.303									
		0.0461	0.0579	0.0564	0.0715	0.1415	0.1953	0.2438	0.248	0.1758	0.2263	0.2628									
		0.045	0.0567	0.0573	0.0817	0.1767	0.2534	0.2809	0.3039	0.2945	0.272	0.3048									
		0.0446	0.1971	0.2124	0.3288	0.3273	0.3083	0.3531	0.4585	0.3023	0.2398	0.2598									
