probe_class	probe_name	accession_id	184a1	184b5	600mpe	au565	bt20	bt474	bt483	bt549	cal120	cal148	cal51	cal851	cama1	du4475	efm19	efm192a	evsat	hbl100	hcc1008	hcc1143	hcc1187	hcc1395	hcc1419	hcc1428	hcc1500	hcc1569	hcc1599	hcc1806	hcc1937	hcc1954	hcc202	hcc2185	hcc2218	hcc2688	hcc3153	hcc38	hcc70	hcc712	hdqp1	hs578t	jimt1	kpl1	ly2	macls2	mb157	mcf10a	mcf12a	mcf7	mdamb134vi	mdamb157	mdamb175vii	mdamb231	mdamb330	mdamb361	mdamb415	mdamb436	mdamb453	mdamb468	mfm223	mx1	ocubm	skbr3	skbr5	skbr7	sum102	sum1315	sum149	sum159	sum185	sum190	sum225	sum229	sum44	sum52	sw527	t47d	uacc3199	uacc812	uacc893	zr751	zr7530	zr75b
Endogenous1	hsa-let-7a-5p	MIMAT0000062	15.262	16.353	17.965	13.977	15.025	14.772	15.454	14.469	16.298	16.506	13.076	16.519	14.536	16.671	15.41	14.335	14.111	16.06	15.687	15.084	15.941	15.448	14.795	4.074	15.216	16.305	17	14.227	14.674	14.734	15.305	16.25	14.636	17.348	16.541	13.713	17.684	16.855	16.419	15.041	14.831	13.974	6.375	16.372	15.203	15.835	16.684	14.233	14.511	15.198	15.599	14.716	16.501	15.107	16.118	13.661	16.229	13.882	13.7	17.634	16.539	13.716	16.287	15.694	14.822	15.863	15.524	14.611	8.824	15.176	15.691	14.003	14.285	14.336	14.686	14.74	18.015	15.477	13.04	14.28	16.981	16.442
Endogenous1	hsa-let-7b-5p	MIMAT0000063	12.666	14.304	15.897	11.131	13.145	11.896	12.537	12.253	14.35	14.874	8.144	15.076	11.401	14.52	10.021	11.837	12.063	12.445	12.692	13.891	13.909	13.155	12.711	3.168	13.314	14.501	14.376	10.408	11.905	11.557	10.099	14.441	11.763	16.098	14.843	12.485	15.937	15.598	14.154	13.565	11.331	11.188	12.103	13.828	12.953	12.503	14.641	11.335	11.771	12.343	13.375	10.642	14.836	12.346	15.087	10.505	14.658	11.336	11.656	15.674	14.02	10.976	14.019	13.892	12.297	13.978	12.528	11.517	9.176	13.156	13.924	11.672	11.996	7.734	12.362	9.569	14.818	12.377	9.587	11.686	15.129	13.613
Endogenous1	hsa-let-7c	MIMAT0000064	10.138	10.832	12.994	11.628	10.102	12.231	10.51	10.796	10.864	11.82	8.155	11.687	11.752	11.138	7.46	7.967	11.732	9.134	10.615	11.195	13.615	10.203	10.775	4.691	11.18	12.14	11.241	9.761	8.519	9.924	9.897	12.377	10.461	13.04	11.287	10.641	12.758	12.109	12.024	10.576	12.719	8.596	6.375	11.469	9.059	11.212	11.211	10.614	8.977	10.554	10.531	6.941	11.3	12.931	12.448	8.029	12.086	10.108	7.834	12.68	12.7	10.514	10.765	10.959	9.353	13.201	10.243	9.443	6.457	13	13.216	7.62	10.712	7.247	10.98	10.252	12.04	9.288	11.067	9.059	11.779	10.423
Endogenous1	hsa-let-7d-5p	MIMAT0000065	12.902	11.369	13.731	13.073	14.141	14.004	14.799	13.389	11.215	11.829	9.638	11.883	13.477	12.948	11.892	14.339	12.428	12.956	11.201	13.162	14.197	14.233	14.516	5.255	13.937	13.507	12.894	11.863	14.177	12.511	11.315	12.479	13.053	12.897	13.476	13.113	13.503	12.329	11.519	12.617	13.267	13.681	11.329	12.396	11.826	13.948	11.689	14.087	13.556	14.496	12.359	13.724	11.988	13.854	11.633	13.488	13.018	13.416	13.143	13.68	13.362	12.686	12.458	11.58	12.826	13.19	14.757	13.724	8.672	13.228	13.681	14.417	13.057	10.068	13.934	11.154	14.215	12.259	9.907	13.273	11.211	12.521
Endogenous1	hsa-let-7e-5p	MIMAT0000066	12.375	12.19	14.355	12.413	12.257	12.343	14.372	11.193	12.364	12.588	10.813	13.481	13.88	10.945	11.908	12.845	10.139	13.175	13.774	12.756	11.131	11.708	11.153	6.507	13.525	13.16	13.099	11.881	11.933	11.845	12.948	13.83	11.678	13.481	12.535	11.181	14.272	13.56	12.715	12.51	12.396	12.433	6.375	13.445	11.15	12.768	12.699	11.947	12.144	12.699	13.099	11.558	13.495	14.45	12.594	9.862	12.152	11.78	11.279	14.572	13.136	12.255	13.053	13.021	11.697	12.403	11.264	10.966	8.796	11.394	13.825	10.247	12.29	11.3	11.532	11.027	14.301	13.956	12.449	11.485	12.928	12.977
Endogenous1	hsa-let-7f-5p	MIMAT0000067	13.723	14.864	17.12	13.067	13.899	14.756	14.563	13.29	14.578	14.862	8.626	15.265	13.628	13.985	12.273	13.502	12.515	15.679	14.58	12.625	14.152	14.18	14.283	4.975	13.807	14.003	15.664	11.883	13.702	14.045	12.423	15.196	13.174	15.631	14.13	12.027	16.614	15.806	13.904	12.287	13.794	13.885	6.375	15.529	12.64	14.61	15.37	14.34	13.847	14.175	14.222	13.269	14.883	14.475	14.727	13.544	13.501	13.216	13.425	16.546	15.71	13.128	14.894	14.661	13.318	13.824	14.819	12.833	8.176	13.737	13.827	13.041	13.609	9.581	14.267	11.224	16.947	15.356	11.303	13.482	15.053	15.213
Endogenous1	hsa-miR-15a-5p	MIMAT0000068	12.136	12.931	16.462	11.237	13.067	13.242	13.473	12.301	13.372	14.266	11.998	14.071	13.595	14.536	14.736	13.488	10.086	14.472	13.825	12.023	13.699	12.364	12.888	3.752	12.825	12.693	14.319	12.039	10.685	11.749	13.289	14.43	11.121	14.829	14.134	11.636	15.638	15.257	14.953	12.065	11.886	12.646	11.623	14.551	12.206	12.343	14.432	12.892	12.762	11.914	14.72	12.396	15.224	14.006	13.938	11.007	14.265	11.971	12.233	15.101	14.2	11.364	14.083	13.51	11.372	12.856	12.206	11.655	6.682	11.33	12.881	11.571	12.038	13.3	12.311	12.894	16.212	16.758	11.64	12.785	14.167	14.488
Endogenous1	hsa-miR-16-5p	MIMAT0000069	14.246	12.601	16.492	13.82	14.418	15.049	15.573	13.783	13.139	14.187	12.935	14.277	15.312	13.859	15.989	14.886	12.258	14.791	13.438	14.342	15.215	14.435	14.834	6.949	15.077	15.531	14.663	14.494	14.041	13.648	15.906	14.295	13.178	15.307	13.825	12.954	15.864	15.398	14.734	14.383	14.696	14.039	6.375	14.538	11.822	14.669	14.096	14.48	14.843	14.34	14.573	13.542	14.153	16.021	14.138	12.714	15.453	13.703	14.712	14.368	14.129	13.436	13.354	13.339	13.574	15.112	14.267	13.432	11.113	14.482	15.011	13.554	14.394	15.319	13.796	15.007	15.649	16.794	14.328	14.486	13.969	14.661
Endogenous1	hsa-miR-18a-5p	MIMAT0000072	8.578	9.299	11.994	8.738	7.653	9.94	10.326	9.098	9.553	10.045	9.762	10.218	10.259	11.402	9.057	7.584	9.288	9.547	9.301	9.258	11.534	8.647	7.953	4.627	7.909	10.164	11.904	9.396	8.236	7.291	9.677	10.433	9.31	9.259	11.337	8.147	10.392	9.429	10.254	8.557	9.893	7.635	11.375	11.421	11.862	9.725	9.616	7.909	7.242	9.799	9.31	7.619	8.932	10.163	8.706	9.883	7.194	8.431	7.794	11.489	9.924	8.622	10.214	9.278	7.687	8.126	9.893	8.421	4.936	7.758	8.855	8.423	9.685	8.516	10.557	8.846	7.182	12.539	7.578	7.811	7.547	10.857
Endogenous1	hsa-miR-19a-3p	MIMAT0000073	11.176	9.798	13.79	10.122	8.997	11.677	11.186	10.629	9.664	9.859	11.04	9.356	10.879	13.122	11.076	9.313	10.763	10.511	9.789	10.15	12.685	10.351	9.317	2.489	8.871	11.096	12.676	9.96	9.612	8.644	10.706	11.385	10.062	10.026	12.495	10.233	11.253	11.001	11.06	9.412	10.747	9.19	11.019	12.249	12.493	11.296	10.959	9.363	8.925	11.114	11.028	9.692	8.893	11.334	9.53	11.162	8.781	10.12	10.109	12.581	10.625	10.311	10.779	9.68	10.142	10.769	11.41	11.186	7.304	9.325	10.234	10.829	10.144	9.508	11.791	9.958	7.182	13.457	8.96	9.603	9.319	12.171
